,0-0,1-0,2-0,3-0,4-0,5-0,6-0,0-1,1-1,2-1,3-1,4-1,5-1,6-1,0-2,1-2,2-2,3-2,4-2,5-2,6-2,0-3,1-3,2-3,3-3,4-3,5-3,6-3,0-4,1-4,2-4,3-4,4-4,5-4,6-4,0-5,1-5,2-5,3-5,4-5,5-5,6-5,0-6,1-6,2-6,3-6,4-6,5-6,6-6,0-7,1-7,2-7,3-7,4-7,5-7,6-7,0-8,1-8,2-8,3-8,4-8,5-8,6-8,0-9,1-9,2-9,3-9,4-9,5-9,6-9,0-10,1-10,2-10,3-10,4-10,5-10,6-10,0-11,1-11,2-11,3-11,4-11,5-11,6-11,0-12,1-12,2-12,3-12,4-12,5-12,6-12,0-13,1-13,2-13,3-13,4-13,5-13,6-13,0-14,1-14,2-14,3-14,4-14,5-14,6-14,0-15,1-15,2-15,3-15,4-15,5-15,6-15,0-16,1-16,2-16,3-16,4-16,5-16,6-16,0-17,1-17,2-17,3-17,4-17,5-17,6-17,0-18,1-18,2-18,3-18,4-18,5-18,6-18,0-19,1-19,2-19,3-19,4-19,5-19,6-19,0-20,1-20,2-20,3-20,4-20,5-20,6-20,0-21,1-21,2-21,3-21,4-21,5-21,6-21,0-22,1-22,2-22,3-22,4-22,5-22,6-22,0-23,1-23,2-23,3-23,4-23,5-23,6-23,latitude,longitude,altitude
00189 - MURET BOUTINON,0.890442014126,0.783402489627,0.754203835861,0.694712247909,0.644286062378,0.520033955857,0.593615984405,0.899293966624,0.828924584188,0.796467611336,0.692636299268,0.628489702517,0.572325581395,0.643293559375,0.899585578119,0.830419661489,0.831487854251,0.713868795211,0.707663671374,0.668110825845,0.696741434122,0.910916179337,0.832728666326,0.829951384485,0.739801169591,0.712118421053,0.713189223058,0.737063711911,0.897273418203,0.848200540878,0.827420865331,0.769024873828,0.740802428011,0.729095925297,0.780463294158,0.873631367576,0.814911128925,0.791869247109,0.754294827979,0.723398169336,0.739133393829,0.800468067402,0.8346,0.773212903582,0.780168326221,0.719742795904,0.687378167641,0.741939307729,0.799133249791,0.722423906151,0.690731006526,0.698379165908,0.656536804645,0.638116123642,0.743778801843,0.795029239766,0.575767865411,0.521881237133,0.564451085653,0.519444865767,0.524750830565,0.754679633867,0.794048918978,0.508133223684,0.406128000812,0.522725335606,0.41665713196,0.470492114763,0.719956140351,0.782462686567,0.48786377709,0.373669391268,0.496650717703,0.383300723929,0.422567783094,0.669067072012,0.751360544218,0.456984372696,0.353694496828,0.454431946802,0.375618533513,0.403461098398,0.640784272935,0.695323675041,0.458346444704,0.366088691116,0.479786572731,0.412295260974,0.390108539832,0.64194214876,0.69748015873,0.518466094412,0.380259134074,0.563271413829,0.446600877193,0.447224356512,0.66413982718,0.723984730344,0.523698514192,0.39463441538,0.536679662118,0.433652631579,0.421148908858,0.664249251892,0.73912611718,0.477342319948,0.392786254453,0.538034602636,0.398529725123,0.448818852137,0.601661232728,0.735015981984,0.465081665919,0.3975951417,0.503051831099,0.421770334928,0.467714783282,0.557757137943,0.74996035286,0.528207527921,0.440175893101,0.550028454806,0.483790593505,0.492973771061,0.56005791177,0.748813784741,0.611334116224,0.506068191043,0.599783523135,0.543154397622,0.537902175935,0.592045648101,0.786602031394,0.672071340261,0.61346749226,0.624515716374,0.580224740684,0.516673212883,0.636479786423,0.819981989194,0.658553209186,0.625247778537,0.614400035176,0.552477984845,0.49517903365,0.61846433518,0.849705344442,0.69389641644,0.63578098472,0.580187134503,0.543782129743,0.455108359133,0.58010410642,0.854195111209,0.731932082043,0.643053986899,0.621612541993,0.57736600676,0.484977519175,0.562246963563,0.867543859649,0.764101837824,0.675706033376,0.656016995614,0.562182395644,0.501754385965,0.550409116069,0.861732934957,43.5813522826386,1.42532582828071,145.218811035156
00157 - U.R.S.S  PEYROUSET,0.794423345018,0.694662015353,0.666052290259,0.611976227594,0.727828429341,0.685626514988,0.744461514005,0.796654298521,0.734204793028,0.721514071637,0.659797100934,0.744076887721,0.716947597753,0.75961355699,0.795771179285,0.746950933483,0.745138759738,0.685894414079,0.765275307585,0.703853588219,0.777109982408,0.803715170279,0.746713900728,0.710409356725,0.744230417124,0.794676440711,0.705823381984,0.775545782389,0.814133103374,0.751389060888,0.732084093148,0.737816572384,0.798574229292,0.751644450723,0.812864464051,0.807744376755,0.741308224874,0.71111867312,0.757882306689,0.824738899806,0.748977472295,0.842332328535,0.807019567373,0.733193923922,0.720985650617,0.705330877532,0.798892656478,0.733358559798,0.849013988765,0.782234863228,0.685680531505,0.697319812746,0.674201316067,0.736648696022,0.738805098734,0.857648230517,0.664960845019,0.573328920967,0.547891826096,0.533956356398,0.598859260739,0.726351538207,0.860267880569,0.527119482744,0.421291629667,0.391882178375,0.378937863234,0.468720483913,0.686532844992,0.848471889268,0.466802442259,0.385094695466,0.383213446633,0.357576506183,0.461561824234,0.69367877315,0.810777130641,0.448259109312,0.35434370846,0.356354028836,0.387273746432,0.432292202179,0.648021627857,0.777497506639,0.417721575133,0.34786951378,0.366042236879,0.380721750974,0.408639146887,0.631033767614,0.739663270664,0.420692473386,0.330547361521,0.364406779661,0.382963212445,0.361171777292,0.600352631442,0.741621257691,0.435914977196,0.329440173467,0.390321975785,0.374849224382,0.374025445753,0.600078547906,0.738956228572,0.424435271184,0.284868187508,0.293011621124,0.325150590285,0.370673983513,0.567606654413,0.722691635134,0.394579872487,0.32624831309,0.297272088226,0.346481750595,0.386044588114,0.538791202491,0.721885628888,0.43668872168,0.338181636427,0.384555417063,0.410846763405,0.413820357257,0.59249443726,0.743742828581,0.530102455105,0.417974761465,0.441384648233,0.501953710177,0.505171779932,0.638273622206,0.751882232365,0.645648549097,0.511081312623,0.509021054816,0.605358228864,0.610097110855,0.678245638783,0.76326333225,0.671688626491,0.596037018112,0.574870313037,0.66985394981,0.644745288466,0.717502732303,0.79390899299,0.687941418344,0.613551422416,0.601704048753,0.679368276844,0.663307825613,0.698642833499,0.776195118502,0.713354737607,0.640663267856,0.669374785002,0.690785265207,0.671527844272,0.719415892673,0.795737977444,0.682244923364,0.617043993109,0.673086099182,0.697582865689,0.673766842669,0.717910699402,0.786853688844,43.5828316867687,1.4486342343268,149.0
00069 - FEUGA,0.237852085279,0.246161798053,0.339617259333,0.288618103719,0.334570892751,0.341949802863,0.300177947891,0.251662958328,0.240979030501,0.348627198627,0.313700458907,0.277652977201,0.28170751634,0.330635760402,0.243793875575,0.243856770176,0.348217841497,0.324683696108,0.224730793957,0.270054937986,0.236570195674,0.246533132604,0.233445496843,0.347029338051,0.30327696828,0.17862730951,0.215789669948,0.195081259215,0.238158184622,0.240844764229,0.290340010854,0.282907351132,0.194687482836,0.227425449346,0.214975674085,0.247625314717,0.254850898693,0.236758603856,0.263265298745,0.169692499926,0.235556598526,0.2017371397,0.246930667692,0.258001626974,0.24765096922,0.291836873638,0.177635628242,0.201421861719,0.186409662998,0.259766785502,0.287641772395,0.27651485561,0.287353464517,0.190187682451,0.186751951132,0.192524671265,0.347853442047,0.432924011355,0.333523679978,0.40649595353,0.271359313294,0.210507977701,0.197907655709,0.467866576242,0.512589216478,0.459306184012,0.595532167115,0.447518382353,0.264359990484,0.209248982612,0.513069171129,0.588473876258,0.51919450257,0.591666372784,0.481396915491,0.291651537158,0.230590994676,0.50902612343,0.565881153685,0.473955615199,0.583518390578,0.469707953604,0.312728406775,0.227804115067,0.514974197901,0.558094580874,0.456181383229,0.589472838316,0.447253489873,0.314330771068,0.238014813434,0.492746692173,0.530269709207,0.45647597366,0.525754684785,0.404114432658,0.300961598697,0.243687752879,0.495577373531,0.504514929296,0.446988973707,0.544680115636,0.38079676315,0.33893557423,0.263378902286,0.442158860827,0.541868399364,0.406217915008,0.475385111774,0.388368510886,0.319459114217,0.332884100715,0.45312206432,0.512680076337,0.403665201713,0.437693968316,0.37551177161,0.319358730968,0.375236609795,0.437761882806,0.511305034834,0.429867184969,0.442139548976,0.360805669786,0.332551619133,0.374309582988,0.401515976761,0.464205407398,0.515662569,0.428244568098,0.37437951371,0.336366041163,0.344026694472,0.379225247791,0.392917663936,0.431362585685,0.377446625949,0.396826654343,0.345638176901,0.312350461018,0.330395742414,0.418787012964,0.39764681125,0.426997306859,0.383310742226,0.362346394037,0.294737435204,0.299769030419,0.364248619344,0.375027126736,0.472525992379,0.439944056719,0.349322854883,0.288456137663,0.301742376898,0.356541977184,0.339119486178,0.43697052539,0.448187157746,0.327839265788,0.254600028417,0.274071881577,0.321277717124,0.310949158424,0.376079403261,0.40602367073,0.335112792119,0.251403826456,43.59253,1.4429,145.611434936523
00181 - PLANA GARNIER,0.677826470588,0.659269957983,0.711562736683,0.626856257209,0.6203125,0.676799824407,0.536205242967,0.691770505912,0.671441303794,0.712833662877,0.639085993142,0.609299516908,0.697362001673,0.527449235922,0.676253841089,0.654504839911,0.703363825845,0.613529411765,0.629310988355,0.704512347392,0.542496085887,0.669895130183,0.655424836601,0.699790794979,0.634747281265,0.637663398693,0.703795707472,0.603977157873,0.681697679072,0.671266968326,0.706413251221,0.624309032123,0.641205305652,0.718666787703,0.61893683703,0.696403952206,0.677097072013,0.718395252838,0.639145951268,0.657839825119,0.724649859944,0.633078560372,0.637928695463,0.629145485355,0.655834914611,0.555368814192,0.596749226006,0.727092760181,0.64666265213,0.593123328877,0.541303357626,0.583308450284,0.491496896924,0.557995028998,0.727082711257,0.679963235294,0.547969187675,0.530903665814,0.582661290323,0.496974306964,0.55713991204,0.695295479303,0.673826109391,0.537799150078,0.482827624721,0.546671826625,0.489240611499,0.551122107611,0.678676470588,0.66070163005,0.513039981618,0.473649396997,0.524972253052,0.477503723008,0.537244245524,0.632039443684,0.662884289518,0.511906007955,0.468926627591,0.500104468017,0.436225702402,0.551017102876,0.584199726402,0.65306372549,0.503189878893,0.475046641791,0.522128851541,0.424857796892,0.536237140596,0.570760122231,0.655350438048,0.488214950012,0.459819468832,0.540073529412,0.427240082079,0.562297625472,0.586486136305,0.655044757033,0.487974292771,0.452205882353,0.521691176471,0.441817496229,0.580764301133,0.558176470588,0.649720724943,0.500705882353,0.468036947875,0.511118215402,0.430542986425,0.582478097622,0.552129060579,0.657473309609,0.516920623671,0.47531512605,0.493867334168,0.436417674546,0.569869281046,0.54724994691,0.659787321303,0.55691459276,0.507036685642,0.500062578223,0.457712117105,0.581676332505,0.564126394052,0.679157239819,0.576712697274,0.537494492179,0.5268757503,0.476415441176,0.611112967914,0.589965397924,0.681827320772,0.575424332729,0.615463290579,0.530779753762,0.546833431865,0.668584273087,0.592671366067,0.659233365477,0.60196303292,0.628676470588,0.550677954668,0.56684328143,0.681605975724,0.585232843137,0.653067844785,0.613565690593,0.636296791444,0.575621073672,0.586379036909,0.681921906694,0.574303405573,0.693165902725,0.616272244192,0.648358413133,0.56843487395,0.581897759104,0.702561669829,0.570208728653,0.669562780269,0.638448969331,0.674414552551,0.595291962939,0.612725949755,0.681631348191,0.556120242215,0.673392638305,43.610549420565,1.4795004816774,141.108444213867
00014 - PERIGORD,0.377450065847,0.221057916559,0.165180759804,0.175972083749,0.234514773651,0.29910172832,0.425211751367,0.324482668067,0.198676470588,0.123315508021,0.15635620915,0.208292869034,0.275152241513,0.412877626621,0.329677077016,0.172794117647,0.110833522598,0.142624968442,0.163558964256,0.23655739829,0.409917565642,0.319806124697,0.170057372725,0.113258093935,0.152450980392,0.14436151345,0.21091580409,0.397693466101,0.294412860991,0.167200063479,0.109167457306,0.157456922163,0.149605172808,0.172453440836,0.360359384547,0.320065359477,0.160756391164,0.110469187675,0.146926932208,0.136378759649,0.169411074289,0.35947526738,0.340054711023,0.195460358056,0.142345399698,0.191737288136,0.176107887101,0.189790004985,0.362084870849,0.374364253394,0.209209299917,0.15173255537,0.19628342246,0.176940834473,0.197136563877,0.345346922553,0.406264864436,0.29412739897,0.230600750939,0.271250591389,0.206103161986,0.195880426406,0.333593315869,0.439517575323,0.433801580334,0.432291666667,0.424070518415,0.391773897059,0.314644607843,0.337131876097,0.493164722786,0.526649496697,0.525571375047,0.519575593395,0.517553344867,0.63519219569,0.342582980905,0.487581699346,0.588704630788,0.555384364729,0.5906670662,0.588214345567,0.723761609907,0.374181761119,0.539965986395,0.648702501073,0.547525107604,0.666628959276,0.677094029632,0.681773379593,0.364936427696,0.583357245337,0.630070767126,0.574862846693,0.622636554622,0.703984998522,0.705924733006,0.358655785009,0.565780542986,0.655918148192,0.656370454165,0.601588317911,0.690889726364,0.747685185185,0.373112745098,0.571389070949,0.681362421001,0.657380465555,0.638650701973,0.651509831461,0.755978982969,0.390157211752,0.565397807917,0.684449147306,0.671255804954,0.685831447964,0.706535731003,0.759174908902,0.423806925996,0.551852795574,0.607367358708,0.649678191887,0.690178699842,0.689563983488,0.708864379085,0.39395197894,0.457405204729,0.440335402222,0.557800100768,0.497416999587,0.577235935246,0.666036960593,0.394858236504,0.387450667168,0.317383669886,0.319455484897,0.334149025852,0.412159586057,0.452783943766,0.424265531128,0.286201375712,0.256817048853,0.295016339869,0.272846638655,0.440858161446,0.483646468621,0.431486068111,0.29459841629,0.241130514706,0.309314854974,0.311627617149,0.427954984811,0.547516506603,0.409047274213,0.267638305322,0.219518982892,0.302402182592,0.319186191426,0.365648201028,0.532624488644,0.42707788671,0.241302798653,0.166611644658,0.218693809401,0.262935129999,0.294838523645,0.476274688708,0.371587635054,43.6073520535788,1.44426962055132,150.409820556641
00200 - PLACE DE L'ORMEAU,0.280783715925,0.262712418301,0.249726402189,0.254810335349,0.2,0.217773712356,0.212977487291,0.292720861579,0.263632222801,0.257337811668,0.233275969962,0.235684415946,0.229680934874,0.214043672014,0.303402872777,0.25934964503,0.270264011116,0.228269432773,0.263760690446,0.27322719342,0.248766488414,0.308505183683,0.282117392412,0.263448502077,0.250278721597,0.273973651961,0.291672137605,0.267525378946,0.303806228374,0.284062721474,0.26376123366,0.266881028939,0.278831010316,0.300979456668,0.310150829563,0.319218175551,0.284950764447,0.302036199095,0.270032217834,0.291502891479,0.312549906841,0.337687148503,0.343360071301,0.321618931415,0.323640819964,0.259596156343,0.28446969697,0.316321594427,0.351442803842,0.340814113415,0.310591364205,0.321019513575,0.277709742434,0.28067455243,0.328578205476,0.366222309535,0.326516544118,0.286885245902,0.333078888335,0.265113417916,0.266228128023,0.319959150327,0.380894506563,0.305324543611,0.288587362911,0.320715122332,0.23783160323,0.263214963405,0.320442265795,0.359398935355,0.28535899654,0.280330882353,0.296825761555,0.236299648064,0.251686454398,0.312762887413,0.348402112783,0.268704850361,0.286778579356,0.271725121974,0.245461348256,0.260448916409,0.300366543014,0.322420548145,0.290277777778,0.252195302581,0.285279160208,0.236600477755,0.262135757081,0.261463850943,0.29769984917,0.311728905045,0.246833404895,0.328366493656,0.2372044406,0.2559680823,0.285810954817,0.316218487395,0.260184246112,0.252855265818,0.285301221938,0.253482972136,0.248016640867,0.237642891165,0.289603841537,0.277887700535,0.254874018011,0.269722083749,0.24272495015,0.24650286944,0.231024970964,0.267221554049,0.25883214614,0.259931245225,0.245981219492,0.258226721182,0.215386591318,0.230286855483,0.260584815321,0.24667840109,0.250477808452,0.241025641026,0.223913839395,0.232909795717,0.241902170121,0.258671338572,0.262130801688,0.247050743374,0.249361934857,0.221363096808,0.208333333333,0.229424019608,0.263342015773,0.277661828924,0.235104189277,0.234928921569,0.1814124487,0.223961491813,0.222122330714,0.268581081081,0.260732165207,0.233749382106,0.235531883694,0.179330065359,0.20537464986,0.22342753974,0.267104418186,0.261108305983,0.254016884532,0.217304397487,0.18,0.205091911765,0.228527695125,0.277274718398,0.262370613481,0.25996426608,0.244599894012,0.197062445668,0.21970996732,0.217358458535,0.280373697596,0.267023657289,0.263039698638,0.247804774084,0.180199579832,0.237533806626,0.205744555887,0.286766874892,43.5790692296515,1.48366977505485,168.179534912109
00125 - BARRIÈRE DE PARIS,0.628549967441,0.538058632281,0.426214288191,0.447656961088,0.467133978631,0.575279757662,0.596095096632,0.632140840526,0.576121143058,0.46814685122,0.488527872993,0.506026942476,0.529166179242,0.572680381866,0.643434907591,0.580676044331,0.538137568812,0.559093319194,0.582860665103,0.549124470686,0.581404185806,0.64968027578,0.609712622321,0.57564439546,0.589647666324,0.589302536232,0.559281400966,0.581964632875,0.661364187419,0.633408230586,0.608592453773,0.63841625579,0.624209486166,0.607965394854,0.629286448793,0.669462355687,0.645692293338,0.614387584969,0.630150522003,0.64130952381,0.633131469979,0.701833389946,0.647222222222,0.607496419774,0.588852240546,0.605612279315,0.613435828877,0.640681425342,0.687742503492,0.632221004945,0.588982964658,0.596238194034,0.615619329945,0.64277354727,0.618902995981,0.696706435444,0.706304969666,0.675446368386,0.652136247642,0.702428594243,0.682524546027,0.626116723796,0.684471936759,0.7143401812,0.705196426944,0.691804388255,0.717878266087,0.704928373454,0.608117061161,0.676871150134,0.688672101668,0.719823382769,0.718302978171,0.709161925744,0.714868506494,0.642393949011,0.687746607497,0.721409064254,0.73099963361,0.698453281891,0.705083506317,0.711301582377,0.664991000368,0.685920685933,0.729441389599,0.695780050213,0.717371043097,0.697724535306,0.702712428337,0.690192668372,0.716602067498,0.702381724845,0.686290972465,0.676040406949,0.716418977004,0.706823283338,0.650993265993,0.701513095649,0.720274053318,0.675783137077,0.652023970714,0.705691396726,0.672063492063,0.663392660395,0.70455222515,0.709606072335,0.659893011939,0.628529825996,0.70262480575,0.696457627119,0.629698036586,0.70459001664,0.734126662696,0.646473627333,0.611601215521,0.643516720604,0.704584111319,0.645604697651,0.710457468709,0.662298091735,0.60788359982,0.613710025153,0.602593580832,0.681231884058,0.661029025323,0.672778049178,0.604422022684,0.52439536517,0.593287127892,0.580819038359,0.612590203415,0.633271872472,0.670142951252,0.654200079594,0.515333209464,0.575285159834,0.565603079555,0.61434498865,0.601779424362,0.645294936373,0.662762864944,0.543633079004,0.559782209446,0.586269179133,0.615448336983,0.590440874169,0.645257142599,0.622345008052,0.525621623847,0.510882003028,0.559877372951,0.588926270991,0.570216260594,0.623437431379,0.588668107467,0.509572657033,0.450939773304,0.549315795753,0.584294565217,0.56200614505,0.617477023035,0.541360283101,0.445276039379,0.443789084181,0.505341873612,0.596636506071,0.551553436389,0.644433277633,43.6269176821576,1.43422515075725,141.617568969727
00110 - CABANEL - SERRES,0.355757059082,0.460227495862,0.449365043863,0.48444425663,0.449653608056,0.316300721678,0.235771617205,0.370927411369,0.454043765495,0.481239409344,0.522658702589,0.472002811314,0.37376133249,0.312366478414,0.368669065629,0.439924411499,0.498573200263,0.528938279857,0.489899588868,0.436409014825,0.395559210526,0.34972591187,0.431029759421,0.489410279263,0.554653179578,0.467811158798,0.442847593583,0.410503747407,0.35303278787,0.442291107314,0.505986796428,0.555008912656,0.490630106209,0.448780906194,0.392834739675,0.351372716322,0.43302054155,0.510045930137,0.561783804431,0.499843661745,0.429579865519,0.382241406233,0.349986767007,0.445553985786,0.46767440175,0.550693184763,0.461238386539,0.413779956427,0.382439265014,0.310216343795,0.404834155885,0.418553950852,0.477673411844,0.447503761697,0.385054782632,0.361415542136,0.304974816387,0.419515166566,0.436523618922,0.474225490196,0.392865078043,0.376448166986,0.370316931804,0.25058397272,0.349749985954,0.385818292659,0.403799019608,0.439563912997,0.373317418665,0.359379572725,0.235054431867,0.322344643984,0.291783131692,0.305322128852,0.345520415373,0.314214471414,0.340630145188,0.213563798654,0.308061319766,0.268280228758,0.268619851041,0.33284254949,0.258289989024,0.323942481221,0.194094682918,0.242480156096,0.206479491021,0.20352352501,0.26875,0.246100969123,0.307700545886,0.264283891735,0.310801351529,0.303707965374,0.327152132783,0.336667430761,0.259954190009,0.283496732026,0.26896045338,0.324460687053,0.293475959885,0.303328938899,0.363423441153,0.258920397692,0.259495806286,0.26704756958,0.329541645718,0.345162189199,0.36927928499,0.369608402722,0.27619044368,0.214569627193,0.268165553,0.345945669935,0.358931574801,0.365873213692,0.363247088742,0.270128676471,0.221427015251,0.209024788777,0.243825921601,0.271080520276,0.292943055817,0.29304426976,0.272969902247,0.227222477533,0.235069979126,0.196853166554,0.248435819475,0.288463337074,0.271349097193,0.289910130719,0.24608590713,0.318470448678,0.215192674292,0.314701495811,0.308981519437,0.248572573684,0.273478598757,0.250942283197,0.289931331182,0.22557399028,0.278420810656,0.268610282277,0.228887823245,0.204771528494,0.224070402193,0.331060667697,0.258146899111,0.302449910095,0.305380485528,0.223891170582,0.164035770746,0.258106846342,0.402097902098,0.343809798951,0.334816630356,0.345751964754,0.238122020145,0.186541548304,0.29394702995,0.434038157613,0.413419766055,0.37925488823,0.400524457095,0.270622635019,0.199427514688,0.324558475873,43.6137551768982,1.43815704623552,145.333358764648
00145 - GOUNOD - GARROS,0.782465766611,0.828223656203,0.896188747731,0.828137578318,0.80859895022,0.636243335053,0.636421447279,0.802652138158,0.832275616578,0.926322460143,0.876005601397,0.88753964714,0.706580071975,0.62235380117,0.836779448622,0.858488431223,0.944574029771,0.882432010447,0.898502282891,0.809558013391,0.677511551513,0.827803686431,0.885506635178,0.955187969925,0.911021573071,0.913080947984,0.875730994152,0.753034055728,0.819583410824,0.903363164998,0.957706766917,0.91317678086,0.920146076488,0.912387807125,0.806347263508,0.795527355939,0.88216891787,0.889012319049,0.896599579277,0.903703703704,0.945665003487,0.848017621145,0.75514354067,0.831746992001,0.8059154296,0.836401358789,0.831956661807,0.948764654859,0.844564279551,0.649326482433,0.678054351565,0.727174707602,0.763613922133,0.777279637481,0.92120002876,0.854336384439,0.420432064203,0.416249090686,0.444125088134,0.485311382537,0.559137508032,0.834028885345,0.831770722352,0.391795665635,0.326503981585,0.334242136874,0.322702245211,0.440890026726,0.741016081871,0.788876932107,0.332692307692,0.307658959538,0.286747414206,0.253732548686,0.399372541674,0.585771675566,0.720660508888,0.314688639917,0.326518218623,0.289443379691,0.319306738046,0.383678088702,0.500701925379,0.618132321399,0.315821410322,0.35188333503,0.324152207884,0.364501963264,0.397563869887,0.443858794159,0.554552553491,0.323958200586,0.375899977216,0.2783709807,0.40507338608,0.359672619048,0.441159317212,0.549925986842,0.284496124031,0.315975920193,0.318021509253,0.411907185019,0.326208608338,0.415546783626,0.574239497827,0.278846153846,0.377062872492,0.334002770083,0.421995184039,0.346770875833,0.393249731329,0.567821473159,0.343950617284,0.492356061976,0.393872902275,0.451851445812,0.374666384838,0.391128654971,0.549038318175,0.443969097055,0.544243913194,0.433080167224,0.517408332552,0.494721304065,0.423962239752,0.53546847889,0.508719715957,0.612427402986,0.491864835638,0.584435564515,0.597812129391,0.531260558804,0.604498425551,0.577991025289,0.673638751389,0.537052449237,0.587015015401,0.60534573316,0.620390850544,0.659408173415,0.657915810547,0.688069755729,0.577444091323,0.602537649481,0.526425027926,0.609780249593,0.656933355059,0.718321597645,0.72878399703,0.598539162188,0.635694595524,0.488547758285,0.554069558059,0.669501385042,0.756930509104,0.763779239766,0.672810986743,0.67669577635,0.533717721269,0.55950070211,0.723568536726,0.805148448043,0.823169180261,0.792645296543,0.736844059793,0.592944420672,0.583127914724,0.741770334928,43.6139591317585,1.42494122409628,139.0
00132 - MINIMES BILARD,0.657229626283,0.581545361151,0.530487497479,0.489093308492,0.512711176088,0.532956077584,0.594782234223,0.64026456054,0.624471880877,0.576479424862,0.524847125424,0.569509358983,0.564303706769,0.596621305883,0.668909556354,0.643807936873,0.607495300752,0.541723874905,0.575369344414,0.597120274681,0.623624952606,0.67178656145,0.653430451128,0.609935673874,0.54228520018,0.61735778841,0.615124913062,0.651083713316,0.685730571917,0.674401336015,0.615811998771,0.544802867384,0.660806375996,0.638462658722,0.66536463148,0.663068762364,0.666977659793,0.618905364547,0.547062099694,0.646212181901,0.673845346079,0.653867102397,0.640819606268,0.644779077323,0.631526826573,0.575077765335,0.638373597929,0.688032143812,0.672853324866,0.640084846354,0.631624634503,0.606896037536,0.578692756285,0.642704841832,0.684671322629,0.658635440594,0.600114155818,0.558229638009,0.555528878218,0.497237702098,0.580645439779,0.685518296444,0.682033275441,0.581597004319,0.538940974431,0.495277469879,0.486045308607,0.581372352823,0.648119585952,0.676675001985,0.549004793474,0.520318339245,0.485287292305,0.476517207167,0.559826962894,0.608023296398,0.651577095076,0.544750976377,0.474931228203,0.485709393604,0.472262672492,0.579872532895,0.660978984895,0.638524006094,0.539724861959,0.470339968167,0.458232506554,0.446945148719,0.550438596491,0.669723631902,0.620662499583,0.496051151721,0.468664336623,0.401383414483,0.466337186734,0.571549355316,0.631856125007,0.579688812689,0.464806097878,0.469239811912,0.404957706767,0.455395819796,0.556877192982,0.57832286335,0.594419118663,0.47313607968,0.489173344404,0.397327382784,0.486933861851,0.611898936976,0.568494753117,0.558124822199,0.493820035502,0.479111845562,0.425597261889,0.48389992963,0.583942933899,0.58078549513,0.570643327574,0.528583891026,0.471056112503,0.409845826688,0.467046570197,0.569240347486,0.543249364848,0.540817765331,0.527148790598,0.477693782786,0.394684441091,0.458512633786,0.529784624737,0.545152395191,0.580201405212,0.539135697667,0.460554612337,0.437755995928,0.453509946218,0.481809615879,0.595707405769,0.567323128082,0.543171561149,0.48031817896,0.45797753972,0.426999943224,0.468750643157,0.580812230425,0.602838343251,0.545813713577,0.48853697666,0.438511738283,0.417648189331,0.464731797841,0.557984566691,0.638276984319,0.557886880363,0.52003060611,0.455943399085,0.454344006504,0.457353441702,0.579908868926,0.607246494725,0.549544980292,0.529169814488,0.507580680095,0.474837328062,0.488946531671,0.599492208246,0.632225245228,43.622937795416,1.43447369218877,143.896270751953
