id,class,type,rarity,type_or_school
69649,Neutral,Minion,Common,Normal
60003,Demon Hunter,Minion,Legendary,Normal
60003,Hunter,Minion,Legendary,Normal
69548,Neutral,Minion,Rare,Normal
61273,Demon Hunter,Spell,Common,Normal
59705,Hunter,Spell,Common,Normal
59705,Druid,Spell,Common,Normal
62347,Mage,Minion,Legendary,Normal
63347,Priest,Spell,Epic,Holy
64631,Hunter,Spell,Common,Normal
56530,Rogue,Minion,Legendary,Normal
69632,Shaman,Minion,Legendary,Elemental
57195,Neutral,Minion,Legendary,Elemental
56445,Paladin,Minion,Common,Normal
69612,Paladin,Minion,Rare,Normal
56556,Paladin,Minion,Rare,Normal
69507,Demon Hunter,Weapon,Common,Normal
66864,Neutral,Minion,Legendary,Dragon
64368,Paladin,Minion,Common,Normal
63211,Warlock,Spell,Epic,Fire
56524,Rogue,Spell,Rare,Normal
65676,Priest,Spell,Common,Shadow
60143,Demon Hunter,Minion,Epic,Demon
69596,Druid,Minion,Epic,Normal
64903,Warlock,Minion,Legendary,Demon
59029,Neutral,Minion,Common,Normal
69718,Neutral,Minion,Common,Mech
57217,Mage,Spell,Epic,Normal
56461,Mage,Minion,Epic,Normal
62895,Rogue,Minion,Legendary,Normal
63193,Warlock,Minion,Rare,Normal
56623,Priest,Spell,Common,Holy
61964,Druid,Spell,Rare,Nature
69722,Neutral,Minion,Common,Elemental
69670,Neutral,Minion,Rare,Elemental
69500,Mage,Spell,Common,Arcane
63060,Mage,Minion,Epic,Elemental
65684,Mage,Spell,Rare,Arcane
69546,Hunter,Spell,Rare,Arcane
69702,Mage,Minion,Common,Normal
63432,Neutral,Minion,Legendary,Normal
56689,Druid,Minion,Legendary,Normal
59252,Warlock,Minion,Legendary,Normal
59616,Paladin,Minion,Epic,Normal
69611,Paladin,Minion,Common,Normal
69653,Neutral,Minion,Common,Normal
63072,Shaman,Minion,Common,Elemental
61970,Neutral,Minion,Rare,Normal
69639,Warrior,Minion,Rare,Normal
56860,Demon Hunter,Minion,Common,Normal
69681,Demon Hunter,Minion,Common,Normal
56378,Rogue,Minion,Rare,Normal
69527,Rogue,Weapon,Rare,Normal
69525,Rogue,Spell,Common,Normal
56717,Mage,Minion,Legendary,Normal
58978,Warrior,Spell,Common,Normal
64487,Neutral,Minion,Legendary,Normal
64214,Shaman,Weapon,Rare,Normal
56398,Hunter,Minion,Epic,Beast
61283,Priest,Spell,Rare,Shadow
69704,Paladin,Spell,Common,Holy
69700,Mage,Minion,Rare,Normal
61971,Warlock,Spell,Common,Fire
69521,Rogue,Spell,Common,Normal
61186,Paladin,Minion,Rare,Normal
57145,Rogue,Spell,Epic,Normal
61616,Neutral,Minion,Common,Normal
63461,Hunter,Minion,Legendary,Normal
69674,Neutral,Minion,Legendary,Elemental
69714,Neutral,Minion,Legendary,Normal
62582,Neutral,Minion,Epic,Normal
63217,Warlock,Minion,Epic,Normal
69671,Neutral,Minion,Epic,Normal
63381,Neutral,Minion,Common,Normal
61943,Warrior,Spell,Common,Normal
61943,Paladin,Spell,Common,Normal
69586,Demon Hunter,Minion,Common,Demon
64711,Neutral,Minion,Common,Normal
69694,Hunter,Minion,Common,Beast
56758,Hunter,Minion,Legendary,Normal
64292,Druid,Spell,Common,Normal
69652,Neutral,Minion,Epic,Normal
56528,Rogue,Minion,Rare,Normal
64197,Warrior,Weapon,Rare,Normal
65597,Rogue,Weapon,Common,Normal
69743,Rogue,Minion,Common,Normal
61132,Demon Hunter,Minion,Rare,Demon
62587,Neutral,Minion,Legendary,Normal
56504,Warrior,Spell,Epic,Normal
64661,Paladin,Spell,Common,Holy
59583,Paladin,Spell,Rare,Holy
69530,Paladin,Spell,Common,Holy
57181,Neutral,Minion,Rare,Normal
59188,Hunter,Minion,Rare,Beast
59720,Demon Hunter,Minion,Common,Normal
59720,Hunter,Minion,Common,Normal
63216,Warlock,Minion,Rare,Quilboar
61434,Priest,Minion,Epic,Elemental
56732,Warrior,Minion,Rare,Normal
64893,Warlock,Minion,Common,Demon
69655,Neutral,Minion,Legendary,Normal
62462,Warrior,Minion,Common,Pirate
69677,Neutral,Minion,Common,Pirate
56686,Druid,Spell,Common,Normal
56413,Shaman,Weapon,Epic,Normal
56417,Shaman,Minion,Rare,Normal
61965,Hunter,Spell,Common,Normal
64774,Shaman,Minion,Legendary,Normal
57175,Neutral,Minion,Common,Normal
56734,Warrior,Minion,Common,Normal
57176,Neutral,Minion,Common,Normal
59605,Warlock,Minion,Rare,Normal
59207,Mage,Spell,Rare,Frost
59207,Rogue,Spell,Rare,Frost
69640,Warrior,Spell,Epic,Normal
69672,Neutral,Minion,Legendary,Dragon
65619,Shaman,Minion,Common,Beast
59222,Warlock,Minion,Rare,Normal
59222,Priest,Minion,Rare,Normal
63074,Shaman,Minion,Legendary,Normal
63130,Warrior,Spell,Common,Normal
57721,Warrior,Weapon,Legendary,Normal
61242,Warrior,Minion,Rare,Mech
62581,Neutral,Minion,Rare,Normal
57177,Neutral,Minion,Common,Beast
61503,Neutral,Minion,Legendary,Normal
59619,Priest,Minion,Epic,Normal
61226,Shaman,Minion,Common,Elemental
69667,Neutral,Minion,Legendary,Normal
64390,Priest,Spell,Epic,Shadow
64321,Shaman,Minion,Common,Elemental
