Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh),Hydro per capita (kWh),Wind per capita (kWh),Solar per capita (kWh),Other renewables per capita (kWh),Continent
Africa,,1965,1010.462,1017.972,29.811,0.0,120.653,0.0,0.0,0.0,
Africa,,1966,984.358,1086.678,32.505,0.0,131.249,0.0,0.0,0.0,
Africa,,1967,981.169,1051.101,31.327,0.0,133.6,0.0,0.0,0.0,
Africa,,1968,994.883,1081.425,30.957,0.0,152.359,0.0,0.0,0.0,
Africa,,1969,978.624,1068.662,35.267,0.0,173.317,0.0,0.0,0.0,
Africa,,1970,992.596,1151.215,42.703,0.0,211.175,0.0,0.0,0.0,
Africa,,1971,1026.888,1268.26,49.346,0.0,193.733,0.0,0.0,1.221,
Africa,,1972,1003.587,1339.28,64.442,0.0,215.011,0.0,0.0,1.197,
Africa,,1973,1040.369,1403.002,100.63,0.0,221.531,0.0,0.0,1.201,
Africa,,1974,1054.505,1412.201,110.291,0.0,245.451,0.0,0.0,1.204,
Africa,,1975,1087.794,1438.294,129.351,0.0,252.661,0.0,0.0,1.152,
Africa,,1976,1128.901,1553.957,143.101,0.0,272.454,0.0,0.0,1.206,
Africa,,1977,1122.459,1600.495,155.766,0.0,291.242,0.0,0.0,1.198,
Africa,,1978,1060.861,1638.871,216.184,0.0,285.589,0.0,0.0,1.203,
Africa,,1979,1095.132,1699.394,321.347,0.0,297.25,0.0,0.0,1.205,
Africa,,1980,1141.002,1748.321,392.359,0.0,281.703,0.0,0.0,1.207,
Africa,,1981,1297.539,1808.92,466.305,0.0,284.538,0.0,0.0,1.236,
Africa,,1982,1391.129,1846.186,489.518,0.0,276.691,0.0,0.0,1.301,
Africa,,1983,1375.649,1855.708,523.213,0.0,242.414,0.0,0.0,1.232,
Africa,,1984,1430.403,1842.407,487.307,20.442,231.714,0.0,0.0,1.219,
Africa,,1985,1434.796,1831.361,508.257,26.911,250.372,0.0,0.0,1.362,
