,2021-22,2021-22,2021-22,2021-22,2021-22,2021-22,2022-23,2022-23,2022-23,2022-23,2022-23,2022-23,2023-24,2023-24,2023-24,2023-24,2023-24,2023-24
,W,D,L,GF,GA,Pts,W,D,L,GF,GA,Pts,W,D,L,GF,GA,Pts
Team,,,,,,,,,,,,,,,,,,
Arsenal,22,3,13,61,48,69,26,6,6,88,43,84,28,5,5,91,29,89
Aston Villa,13,6,19,52,54,45,18,7,13,51,46,61,20,8,10,76,61,68
Brentford,13,7,18,48,56,46,15,14,9,58,46,59,10,9,19,56,65,39
Brighton & Hove Albion,12,15,11,42,44,51,18,8,12,72,53,62,12,12,14,55,62,48
Chelsea,21,11,6,76,33,74,11,11,16,38,47,44,18,9,11,77,63,63
Crystal Palace,11,15,12,50,46,48,11,12,15,40,49,45,13,10,15,57,58,49
Everton,11,6,21,43,66,39,8,12,18,34,57,36,13,9,16,40,51,40
Liverpool,28,8,2,94,26,92,19,10,9,75,47,67,24,10,4,86,41,82
Manchester City,29,6,3,99,26,93,28,5,5,94,33,89,28,7,3,96,34,91
Manchester United,16,10,12,57,57,58,23,6,9,58,43,75,18,6,14,57,58,60
Newcastle United,13,10,15,44,62,49,19,14,5,68,33,71,18,6,14,85,62,60
Tottenham Hotspur,22,5,11,69,40,71,18,6,14,70,63,60,20,6,12,74,61,66
West Ham United,16,8,14,60,51,56,11,7,20,42,55,40,14,10,14,60,74,52
Wolverhampton Wanderers,15,6,17,38,43,51,11,8,19,31,58,41,13,7,18,50,65,46
